cd	grp_cd	dscr
1.00	4026	SETTLERS VILLAGE 1,1R/P  & 2
1.01	4025	SETTLERS VLG SEC 3,3R/P,5 ,5 R/P & OTHERS
1.05	4025	LAKEVILLE SEC 1,2,4,5,6,7
1.07	4160	GRANT MEADOWS 1-5, TELGE RANCH 1-5 & OTHERS
10.00	0	ROLLING CREEK Commercial (DO NOT REMOVE)
10.01	4139	ROLLING CREEK 1 & GRAND OAKS SEC 2-16
10.03	4028	BERKSHIRE SEC 1,2,5,6,8,9
10.05	4013	WHEATSTONE VILLAGE CLOVERFIELD
10.08	4028	BERKSHIRE PL SEC 1-5 & BERKSHIRE SEC 7,10
10.10	4139	GRAND OAKS THE PRESERVE
100.00	4056	WESTWAY SEC 1
100.01	4042	WESTBRANCH ESTATES
1000.00	9001	ALDINE ESTATES/OTHERS M/R
10001.00	0	Mineral Reserve
10002.00	0	Mineral Other Real Property Reserves
1001.00	9001	ALASTA GLEN MOBILES/OTHERS M/R
1002.00	9001	M/R
1003.00	9001	MR/PT ALDINE/MAGNOLIA GDNS
1004.00	9001	MR/MCCRACKEN UR,PT MAGNOLIA GD
1005.00	9001	MR/WL HILL S/D HAHL SITES
1006.00	9001	MR/HILLSIDE GDNS/PARKLAND ESTS
1006.01	9043	PINE TRACE SEC 4,5,6
1007.00	9001	MR/N OF FM 1960
101.00	4047	WESTWAY COURTYARD
1010.00	9012	LINCOLN GRN PL 1(02)2(03 SUB)
1011.00	9012	WESTPOINT ESTATES #1
1012.00	9001	PINE VALLEY MEADOWS SEC 1
1013.00	9037	VILLA NORTH
1014.00	9023	GREEN OAK PARK SEC 1,2, 3, 4
1016.01	9023	GREENBRIAR NORTH SEC 13-19
1017.00	9023	FLAGSTONE SEC 1, 2
1018.00	9012	PARKLAND PLACE SEC 1,2,3
1019.00	9023	CYPRESSWOOD POINT SOUTH
102.00	4024	WESTBANK 1 R/P, 2,3,5
1020.00	9023	CYPRESSWOOD POINT SEC. 1-3,6,7
1020.01	9023	CYPRESSWOOD POINT 4,5,9,12
1020.02	9023	CYPRESSWOOD POINT SEC 8,10,11
1021.00	9012	CYPRESS TERRACE SEC 1,3
1022.00	9012	SYCAMORE BEND SEC 1,2
1023.00	9012	MEADOWVIEW FARMS
1024.00	9012	MAPLE RIDGE PLACE SEC 1,2,3,4
1025.00	9012	REMINGTON CREEK RANCH SEC 1-6
1026.00	9012	SADDLE RIDGE 1-6
1028.00	9023	DEERBROOK ESTATES PT SEC 1,3
1028.01	9023	DEERBROOK ESTATES PT SEC 1 DPLX
1028.02	9023	DEERBROOK ESTATES SEC 2,4,7,10-12
1028.04	9023	DEERBROOK ESTATES SEC 5,6
1028.05	9023	DEERBROOK ESTATES SEC 8
1029.00	9012	IMPERIAL TRACE
103.00	4073	STEEPLECHASE SEC 2-6, CROSSROADS SEC 1,2,4,9
103.01	4080	THE ENCLAVE AT CASTLEBRIDGE & R/P
1030.00	9033	VILLAS DAYALA
1032.00	9009	WILLOW SPRINGS SEC 1,4 & OTHERS
1032.01	9009	WILLOW SPRINGS SEC 2 & OTHERS
1032.10	9009	WESTVIEW LANDING SEC 1-5
1033.00	9037	MOUNT ROYAL VILLAGE 1-5
1034.00	9038	BAMMEL TRACE SEC 1
1035.00	9039	VILLAS OF ESTELLA
1036.00	9040	WATERSIDE COURT
1037.00	9040	ARBOR TRAILS SEC 1, 2,3
1038.00	9037	ROYAL CREST
1039.00	9043	NUECES PARK PLACE SEC 1
104.00	4135	MIXED RESIDENTIAL
105.00	4103	MIXED RESIDENTIAL
106.00	4012	CYPRESS PLACE
106.09	4132	CHAMPIONS VILLAGE T/H'S
106.11	4144	THE WILLOWBROOK CONDO
107.00	4007	CHAMPIONS PARK & OTHERS
107.02	4094	CHAMPIONS PARK NORTH & CHAMPIONS CENTRE ESTATES 1
107.06	4071	CHAMPIONS FAIRWAY ESTATES
107.07	4079	CHAMPIONS CENTRE ESTATES 2 & OTHERS
107.09	4079	PINNACLE AT CHAMPIONS CENTRE
108.01	4078	CHAMPION PLACE
108.03	4079	BARRINGTON WOODS 1 & TURTLE PINES
109.00	4008	CHAMPIONS NORTHWEST
11.00	4023	STONE CRK SEC 1-4 & CROSSING @ STONE CRK SEC 1,3,4
11.03	4118	VILLAGES OF LANGHAM CREEK 1 AMND & 4-7
11.04	4028	VILLAGES OF LANGHAM CREEK 1 & BERKSHIRE SEC 3,4
11.08	4118	NORTH ENCLAVE @ WESTMINSTER VILLAGE,SOUTH ENCLAVE
110.00	4095	CHAMPIONS CELEBRITY COLONY
111.00	4095	KINGSROW
112.00	4008	CHAMPIONS NORTH
113.00	4058	CHAMPIONS WEST
1132.01	1901	SHADOWLAKE ESTATES #1,2
1133.00	1901	URBAN ACRES
1135.00	1901	M/R
1136.00	1901	HOUSTON SUBURBAN HGTS M/R
1137.00	1901	MOUNT HOUSTON
1137.01	1901	MOUNT HOUSTON/EDGEWORTH PLACE
1138.01	1901	SHERIDAN OAKS
1139.00	1901	FOREST ACRES
114.00	4008	CHAMPIONS SOUTH
114.01	4010	CHAMPIONS ARBOR
1140.00	1901	DYERSDALE
1142.00	1904	VERDE FOREST #1,2/OTHERS
1142.01	1904	FOREST GREEN
1143.00	1904	ROBINS LANDING SEC 1,3
1144.00	1902	RIVER TRAIL;RIVERWOOD/OTHERS
1148.00	1902	CALGARY WOODS
1149.00	1902	FAIR OAKS
115.00	4095	CHAMPIONS COLONY SEC. 2
1150.00	1901	HOUSTON SUBN HEIGHTS(PALMLEA)
1153.00	1901	N. SHADYDALE,WARWIER BRISTOL
1153.01	1902	FONTAINE PLACE SEC 2-4
1153.02	1902	NORTHWOOD MANOR/MT HOUSTON
1155.00	1902	SCENIC WOODS PLAZA/OTHERS
1155.01	1902	SCENIC WOODS PLAZA
1155.02	1907	SERENITY MEADOWS
1156.00	1901	ARMSTRONG ACRES (5204)
1157.00	1902	FONTAINE #4-7 (5205)/OTHERS
1157.01	1902	FONTAINE PL SEC 5-7
1158.00	1902	SCENIC WOODS PT #1 (5206)
1159.00	1901	TIDWELL TIMBERS (5207)/OTHERS
116.00	4093	CHAMPIONS EAST
116.01	4079	CHAMPIONS BEND ESTATES
1160.00	1901	BUCKINGHAM PL.#4,6 (5208)
1160.01	1901	BARCLAY PLACE
1160.02	1901	GLEN MANOR
1160.03	1901	WEYBURN PLACE
1161.00	1908	PARK NORTH #2 R/P (5211)
1162.00	1904	GLENWOOD FST #1-6 (5212)/OTHER
1163.00	1903	ROANE OAKC,CLAIMT PL LARKSTONE
1163.01	1903	NEW HAVEN/JOHNSON PLACE
1163.02	1901	KENTSHIRE/TIMMERMAN
1163.03	1901	PT. DORCHESTER AND TIMMERMAN PLACE
1163.10	1903	CLAIRMONT PLACE
1163.11	1903	LARKSTONE PLACE
1163.12	1903	PARKHURST ESTATES, BAKER PLACE, BELL R/P
1163.13	1906	HARREL PARK
1163.15	1901	LIFE STYLE
1164.00	1901	PARK NORTH 1 (5213.2)
1165.00	1904	CHATWOOD PLACE
1165.01	1906	WOOD GLEN SEC 3 (1991)
1165.02	1904	WOODGLEN SEC 1 & 2
1166.00	1901	LIBERTY RD MANOR 5,7 AND OTHERS
1166.03	1901	CARVER TERRACE, GARFIELD FLACE
1166.05	1901	LIBERTY ROAD MANOR SEC 4,6,14,19
1166.09	1901	FORD,EAST WAY MANOR
1167.00	1901	NORTH SHADYDALE (7063)
1168.00	1901	SHADY OAKS (7063)
1169.00	1901	EAST HOUSTON #1,#1R/P (7065)
117.00	4136	FAIRVIEW GARDENS M/R
117.01	4024	NW VILLAGE, GOLFVIEW GARDEN & THE PARK AT JV
117.04	4080	LAKES OF JERSEY VILLAGE & WYNDHAM LAKE
117.06	4080	WINCHESTER ESTATES
117.07	4080	STEEPLE CHASE TERRACE
1170.00	1901	SETTEGAST GARDENS #2,3 (7066)
1171.00	1904	LAKE FOREST
1172.00	1901	TOWNLEY PLACE (7086)/OTHERS
1173.00	1901	HOU. SURBURBAN GDNS.
1174.00	1901	GREEN RIVER GARDENS
1175.00	1901	KNOLLWOOD EST.
1176.00	1901	TIMBER AC.1,2
1176.01	1907	WOODLAND ACRES R/P 2ND PAR R/P
1176.03	1907	PARKERS PLACE SEC 2
1177.00	1902	DOCKAL PARK
1178.00	1907	LELAND WOODS SEC 1,2
1178.05	1907	TOWNE PARK DEVELOPMENT
1179.00	1906	ACORN MESA ROAD
118.00	4007	HUNTWICK FOREST
118.01	4132	OAKS OF HUNTWICK T/H
1180.00	1908	CAL RUN ESTATES
1181.00	1907	ROYAL OAKS TERRACE
1182.00	1908	WAYSIDE VILLAGE SEC 1,2,4 & 5
1182.01	1908	WAYSIDE VILLAGE SEC 6, 9
1182.02	1908	WAYSIDE VILLAGE SEC 11-13
1182.05	1908	AZUL HOMES
1182.06	1908	PARK NORTH PLACE
1183.00	1906	MILBY PARK
1184.00	1909	OAKS OF LAKEWOOD VILLAGE SEC 1,2
119.00	4140	MIXED RESIDENTIAL
119.03	4140	SATSUMA EST. #2
119.04	4140	WEIMAN SUBDIVISION
119.05	4140	SOMMERMEYER 1,2
12.00	4152	SOMMERALL 1,2,3,4
12.01	4054	SOMERALL WEST SEC. 1,3
12.02	4085	COPPERFIELD WESTCREEK VLG 6
12.03	4054	HAVEN AT KEITH HARROW
12.04	4054	WINDSTONE COLONY SEC 2,4,9
12.06	4054	WINDSTONE COLONY SOUTH 1-5
12.10	4054	RICEWOOD VLG SEC 1-11
12.20	4054	WESTFIELD RANCH SEC. 1-7
120.00	4058	CHAMPIONS WAY
121.00	4058	CHAMPIONS COLONY SEC. 3
121.01	4079	HAMLET AT CHAMPIONS U/R
122.00	4093	CHAMPION GLEN
122.01	4144	TIMBER TOP CONDO
122.02	4010	CHAMPIONS FOREST SEC 12
122.04	4010	CHAMPIONS FOREST 11
123.00	4017	WHITE OAK BEND SEC. 1
124.00	4137	MIXED RESIDENTIAL
124.01	4068	MEADOW VISTA #1-4
125.00	4017	WHITE OAK BEND #1
126.00	4074	WINCHESTER COUNTRY SEC. 1-3,6,7,9
126.07	4108	WINCHESTER MEADOWS 1,2
126.09	4108	WINCHESTER MEADOWS 3
127.00	4076	STEEPLECHASE PT  SEC 1 & SEC 1 2ND PAR R/P
128.00	4077	WINCHESTER CNTRY TRLS #1-4,10
129.00	4138	MIXED RESIDENTIAL
129.02	4099	COLE CREEK WOODS
129.03	4138	FAIRBANKS HEIGHTS M/R
13.00	4054	WESTFIELD VLG & VLG OF BEAR CRK SEC 1 R/P, 6
13.01	4054	WESTFIELD PINE SEC. 1
13.02	4054	WESTFIELD PINES SEC 2
13.04	4054	WESTFIELD PINE 1, 2ND PAR R/P
13.20	4054	MEADOWS AT WESTFIELD VILLAGE SEC 1-6
132.00	4017	WHITE OAK BEND SEC. 2
1326.00	15101	FARM
1327.00	15116	STERLING GREEN SEC 1 PT. R/P & SEC 7
1329.00	15115	WOOD EST. PINES CONDOS
133.00	4017	HARVEST BEND 1-3,PAR R/P,4 R/P
133.02	4036	HARVEST BEND #7 & 8
133.03	4036	HARVEST BEND SEC 9
1331.00	15108	CLOVERLEAF
1333.00	15116	CHANNELWOOD
1334.00	15104	RIVERGROVE GARDEN HOME
1338.00	15106	RIVIERA EAST SEC 1, 3-4
1342.00	15107	HUNTERWOOD VILLAGE #3,4
1342.01	15107	PINE TREE SEC 1,2
1347.00	15107	PINE TRAILS #1-10 R/P
1348.01	15107	SECLUSION EST U/R
135.00	4068	TURTLE LAKE & TURTLE HILL VLG
1351.00	15102	WOODFOREST #1R/P, 3-18
1357.01	15102	WOODFOREST N 2-4,6,8-10& WOODFOREST PT 16,17,19,27
1359.00	15104	WOODFOREST PT #21, 25, 26
136.00	4014	CYPRESS GLEN
1363.01	15111	GALENA MANOR AREA & FIDELITY
1364.00	15111	CLINTON ANNEX/E. THOMAS AREA
1365.00	15111	GALENA PINES AREA
1366.00	15111	WOODLAND AREA
1367.00	15111	GALENA TERRACE AREA
1369.00	15109	INDUSTRIAL ADD`N AREA
1369.01	15109	INDUSTRIAL BLKS 47-53
137.02	4037	TALLOWOOD SEC.4
137.04	4037	TALLOW WOOD SEC.1
137.05	4038	TALLOW WOOD 2,3
137.06	4021	PARKSIDE @ PERRY #1 & 2
137.07	4038	MILLS CROSSING, MANDOLIN PARK & FAIRLANE VILLAGE
1370.00	15109	MANGUM PLACE #1-3
1372.00	15109	JACINTO OAKS
1375.01	15110	WOODLAND ACRES ANNEX 3-7 & OTHERS
1376.00	15101	M/R
1377.00	15108	VICTOR PLACE/ABBOTT AREA
1378.00	15108	MARWOOD
1379.00	15111	UNIVERSAL CITY/CLINTON/G. OAKS
138.00	4061	NORTHCHESTER SOUTH & MILLS WALK
138.02	4021	LINNFIELD SEC 1,2,3
1380.00	15115	COLLEGEVIEW TOWNHOMES
1380.01	15105	PLANTATION AT WOODFOREST #1-4,6
1380.08	15105	NEW FOREST WEST SEC 3
1380.09	15105	NEW FOREST WEST SEC 1,2,4,5
1381.00	15115	CASTILIAN VILLAGE
1382.00	15115	TIMBERWOOD CONDO
1382.01	15115	WOODFOREST CONDOS
1383.00	15117	AUDREY LANE T/H
1385.00	15107	HUNTERWOOD VLGE #3 R/P
1386.00	15104	THORNHILL EXTENSION U/R
1387.04	15112	HIDDEN FOR. PT. HME.O.EST(5431
1387.07	15112	HIDDEN FOREST
1388.00	15113	HOME OWNED ESTS. E. & W. OF UVALDE
14.00	4103	HOUSTON HOT WELLS
140.00	4061	CYPRESS FOREST SEC. 1 & 2
141.00	4070	WESTERN ESTATES SEC 1
142.00	4070	HUNTERWOOD FOREST SEC. 3
142.01	4090	HUNTERWOOD FOREST SEC. 1
143.00	4070	HUNTERWOOD FOREST SEC. 2
144.00	4138	MIXED RESIDENTIAL
144.01	4084	PECAN OAK TH (ROLLING FORK 7)
144.02	4134	REID EST.
144.03	4134	WINDFERN MEADOWS & OTHERS
144.04	4134	TAYLORS NORTH HOUSTON
144.05	4134	NORTH HOUSTON
146.00	4060	OAKWOOD FOREST
147.00	4031	WOODLAND TRL W 1-3 &8-10, WOODLAND OAKS & OTHERS
147.03	4031	NORTHWEST PLACE ESTATES
147.04	4038	WILLOW PARK VILLAGE
147.05	4038	SOLITAIRE
147.06	4038	MILLS LANDING SEC 1,2,3
147.08	4031	ROSSLYN LANDING SEC 1.2
147.12	4038	MILLS CREEK CROSSING SEC 1,2
148.00	4084	COURTYARD HOMES
148.01	4082	COURTYARD HOMES THREE SEC2 R/P
15.00	4027	CYPRESS MEADOWS
15.09	4029	WINDSONG PLACE
1500.00	21001	PASADENA EXEMPTS
1501.00	21001	VINCE M/R
1501.01	21001	EXEMPT 1501
1502.00	21001	QUEENS M/R
1502.01	21001	EXEMPT 1502
1503.00	21001	RED BLUFF M/R
1503.01	21001	EXEMPT 1503
1504.00	21001	FAIRMONT M/R
1504.01	21001	EXEMPT 1504
1504.02	21032	FAIRMONT/GENOA (W OF ALLEN GENOA)
1505.00	21001	GENOA M/R
1505.01	21001	EXEMPT 1505
1505.02	21032	FAIRMONT/GENOA (E OF ALLEN GENOA)
1506.00	21001	SOUTH HOUSTON GARDENS M/R
1506.01	21001	EXEMPT 1506
1508.00	21023	BEVERLY CT/BLACKWELL/GLASGOW
1509.00	21023	MAGNOLIA COURTS
1509.01	21001	PITTS & OTHERS
151.03	4064	PARK AT HOLLISTER,WILSHIRE CT & OTHERS
151.04	4049	WOODLAND GATE
1510.00	21045	SAN JACINTO TERRACE
1511.00	21044	W JACKSON PLACE/SINCO COURT/WESTOVER & OTHERS
1513.00	21044	PASADENA PLACE, PASADENA TERRACE, PANK & CRUSE
1514.00	21044	PARK BROTHERS
1516.00	21045	TURNER SUBDIVISION
152.00	4050	BURGER ESTATES
152.01	4133	CYPRESS FAIR T/H CONDO
152.02	4138	MASSAAD GROUP REPLAT 1
1520.00	21045	GREATER PASADENA HTS/S. SIDE PL
1521.01	21023	OLEANDER
1522.00	21023	PASADENA GARDENS & REVELON TERRACE
1523.00	21029	707 GARRETT STREET CONDO
1524.00	21035	RED BLUFF  TERRACE SEC 1-7
1525.00	21066	PARKWOOD ESTATES SEC 4
1526.01	21068	SAN AUGUSTINE T/H
1526.02	21066	MEADOW WOODS (PATIO)
1527.00	21016	BENNETT EST. & TANGLEBRIAR
1528.00	21023	SATSUMA HEIGHTS & PLACE, PRESTON VILLA
153.00	4050	ROLLING FORK & CREEKSIDE ESTATE SOUTH
153.02	4155	HERON LAKES ESTATES 1 & 2
153.05	4154	SILVER OAK TRAILS SEC 1-3
153.07	4155	WINDFERN TRACE & HERON LAKES TH
153.08	4155	FERNDALE ESTATES,HERON WEST & WINDFERN
1530.00	21023	SATSUMA PROVENIR
1532.00	21023	MARLEN TERR. / KINGSTON PLACE / EASTRAVEN & OTHERS
1532.01	21011	SOUTHMORE CONDO'S
1533.00	21028	WILLOW OAKS T/H
1535.00	21014	H.A. PAINE SEC 1,2
1536.00	21050	VINCE BAYOU/SUNNY SLOPE
1538.00	21039	SHADOW LAWN
154.01	4156	WOODWIND LAKES, LAUREL CREEKS 1-5 & OTHERS
154.04	4156	MAURA LAO GARDENS Sec 1 & 2
154.05	4156	STONEWAY VILLAGE
154.06	4156	TERRACE BROOK 1-6,WOODLAND TRLS & WOODLAND OAKS
1540.00	21014	SOUTHMORE PLAZA/FIRWOOD VLG
1541.00	21014	FOREST OAKS EXTN SEC 2&3 &MEADOW CREEK VLG SEC 1-3
1542.01	21041	PT.MEADOW CREEK VLG #2 ROW T/H
1543.00	21011	PASADENA OAKS SEC 2-3 & CAMPBELL'S LITTLE FARM
1543.01	21011	VINCE HEIGHTS 1&2 AND PASADENA OAKS
1545.00	21010	VINCE HEIGHTS 3-5, LOCKLAINE , FENWOOD
1549.00	21062	SOUTH PASADENA VILLAS
155.00	4024	WINDFERN GARDENS PATIO HOMES
1550.00	21014	SHAVER PLACE & FRONTIER EAST
1552.01	21036	STADIUM EST 2/CLEARBROOK/SHERWOOD & OTHERS
1553.00	21014	STRAWBERRY HILL SEC 1-6
1554.02	21066	KIMBERLY PARK
1555.01	21048	SIMWAY PLACE (FLYNN ST.)
1557.00	21060	PINESWEPT & PT HOUSTON SUB EST
1557.01	21069	COURTYARD HOMES OF PASADENA
1558.00	21050	GOLDEN ACRES
1559.00	21050	SPENCER HIGHWAY GARDENS
156.00	4024	WINDFERN FOREST SEC. 1 & 2
1560.00	21050	KINGSDALE ADDN
1561.00	21040	FIELDCREST, PRESTON MANOR, MARTINDALE
1562.02	21040	GRUNEWOLD ACRES & OTHERS
1563.00	21066	RAYBURN PARK & CHERRYBROOK VILLAGE
1564.00	21040	WINDWARD VIEW SEC 1,2
1565.00	21022	PARKVIEW ESTATES SEC 1-4
1566.00	21022	PARKVIEW MANOR/RAYBURN HGTS
1566.01	21028	RAYBURN PLACE T/H
1566.02	21029	BAYSHORE T/H CONDO
1567.00	21014	TARRYTOWN & T E WILLIAMS
1567.01	21001	LA MESA M/H PARK
1568.00	21014	ALTA VISTA TERRACE
1569.00	21048	WESTSIDE COURT & VILLAGE, CENTER PLACE
157.00	4024	WINDFERN FOREST SEC. 4
1571.00	21010	VINCE HEIGHTS 6, SKYLARK TERRACE & OTHERS
1572.00	21061	CHRISTA COUNTRY
1572.01	21061	WOFFORD
1573.00	21014	MERILYN PLAZA SEC 1,2
1575.00	21028	QUEENS VILLAGE
1576.00	21028	MOUNT VERNON T/H
1577.00	21026	MOUNT VERNON
1578.00	21027	MERILYN PLACE 1-2/MERILYN PLAZA 3-4/SO.HOUSTON TER
1578.01	21040	MERILYN PLACE SEC 5
1579.00	21027	PT. SOUTH HOUSTON (N.SPENCER)
158.00	4066	COUNTRY CLUB EST #6/LAKESIDE
158.01	4066	JERSEY VILLAGE (WATERFRONT)
158.02	4066	JERSEY VILLAGE
1580.00	21027	SOUTH HOUSTON LOTS
1581.00	21027	PT. SOUTH HOUSTON (N. SPENCER)
1583.00	21027	PT. SOUTH HOUSTON (S. COLLEGE)
1584.00	21027	PECAN TERRACE, SOUTH EAST PT. SOUTH HOUSTON,TEXANS
1585.00	21027	SOUTH HOUSTON & TEXANS PARK SEC 2
1587.00	21032	ALTA VISTA ACRES
1587.01	21032	FREEDOM PLACE
1587.10	21032	ORCHARD PLACE TOWNHOME T/H
1588.00	21002	RANCHO VISTA SEC 1 & VISTA VILLAS SEC 1,2
1588.02	21018	VISTA OAKS 1, 2, 3
1588.10	21002	HIDDEN COVE
1589.00	21002	SHA-D-REE, PALOS VERDE, & VISTA VILLAS SEC 3-6
1589.01	21028	WILLOW VISTA T/H
1589.02	21068	BUENA VISTA T/H
1589.04	21028	TERRENO VISTA T/H
1589.05	21001	TERRENO VISTA T/H (INACTIVE ACCTS)
1589.06	21047	VISTA PARK PATIO HOMES
159.00	4015	JERSEY VLG COUNTRY CLUB EST 3,4
1590.00	21040	BEAUSSIRE& R/P
1591.00	21040	HUNTINGTON ADDN SEC 1-3
1592.00	21023	GOLDEN ACRES ANNEX
1592.01	21061	RENO VILLAGE
1592.02	21001	EULA AVENUE
1593.00	21056	BLISS MEADOWS SEC 1-3 & COUNTRY BRIAR
1595.00	21009	FAIRMONT ESTS 3-4, FAIRMONT HGHTS, & FAIRWAY PL.
1595.04	21047	BAYWOOD OAKS WEST SEC 3, 4, 5, 6
1597.00	21008	INDEPENDENCE PLACE & FAIRMONT MEADOWS
1597.01	21008	WHITNEY ESTATES 1 - 3
1599.00	21020	PARKGATE NORTH
16.00	4098	WINDSONG SEC 1-4 & COVENTRY ESTATES SEC 3,4
16.01	4016	WEST GLEN SMALL LOTS
16.07	4028	WMSTER VLG 1,2,3/VLG OF LANGHAM CRK & OTHERS
16.08	4054	COVENTRY MEADOWS
16.09	4106	LISMORE LAKE ESTATES
16.10	4106	LAKE ESTATES ON NORTH ELDRIDGE
160.00	4015	COUNTRY CLUB EST. SEC. 1 & 2
1600.01	21047	PRESTON TRAILS & PRESTON TRAILS S.
1601.00	21017	ANTHONY LANE
1602.00	21020	PARKGATE SEC 1-4
1602.01	21029	WALNUT HILL CONDO
1602.02	21029	600 ALLEN GENOA CONDO
1602.03	21047	BOSQUE SAN LEON
1604.00	21020	PARKVIEW SOUTH SEC 1-7
1604.01	21047	PARK RIDGE ESTATES & BURKSHIRE
1605.00	21056	BURKE MEADOWS & PARKLAND VILLAGE
1607.00	21001	TEALWAY M/H
1607.01	21002	FOX HOLLOW
1608.00	21028	FAIRMONT T/H
1609.00	21032	ARLINGTON HEIGHTS
161.00	4015	NORTHWEST ESTATES
1610.00	21038	FREEWAY MANOR SEC 3,4,5,7
1611.00	21038	FREEWAY MANOR SEC 1,2,6
1612.02	21046	LAS COLINAS, LAS BRISAS & S SHAVER ESTATES
1613.00	21038	SUN VALLEY & GULFWAY TERRACE,FREEWAY MANOR PAR R/P
1614.00	21037	HOBBY AIRPORT VILLAS CONDO
1614.01	21037	CONTEMPORARY AIRPORT SEC 1
1614.02	21037	VILLAS ON MONROE
1615.00	21038	MEADOWBRK FWY PT BK 4,10,17,18 & GULF FWY OAKS
1616.01	21033	EASTHAVEN, FERNANDO LTS, SALINAS EST
1616.02	21029	CEDARWILD T/H CONDO
1616.05	21033	EDGEBROOK PLACE VARIOUS SMALL LOTS
1616.07	21033	SCRANTON VILLAS SEC 1 & SCRANTON ESTATES
1617.00	21024	GULF PALMS SEC 1,2
1617.01	21059	TIERRA PARK, TIERRA GLEN,DUMAS COURT,ACRE HOMES RP
1617.02	21059	BROADWAY SQUARE
1618.00	21024	GENOA
1619.00	21030	EASTRIDGE TER & PALM SPRINGS
1619.02	21046	S. UNIV PLACE, LAS ALAMEDAS, VICTORIA PARK & OTHER
1619.04	21046	LAS PALMITAS, LAS TERRAZAS & OTHERS
1619.05	21046	SIERRA VISTA SEC 1,2
162.00	4090	HEATHERWOOD VILLAGE SEC 1 R/P
1620.00	21046	SOUTHBRIDGE SEC 1
1620.03	21053	BRIDGEGATE 1-5
1620.07	21059	PARK AT FUQUA & CLEARCROFT & CLEARWICK
1621.05	21059	SOUTHWAY
1622.00	21031	BEVERLY HILLS SEC 1-8
1623.05	21046	FUQUA LANDING
1623.07	21046	KINGSPOINT GARDENS & KINGS PLACE SEC 1
1624.00	21034	RAINBOW VALLEY SEC 1
1624.02	21046	CLEARWOOD CROSSING 1-4 & VILLAS @ FUQUA LANDING
1624.05	21046	CLEARWOOD CROSSING S, LANDING, BRIDGES @ BLACKHAWK
1624.06	21046	WINDMILL LAKES VILLAS R/P
1624.07	21046	LAGO VISTA
1625.00	21034	KIRKWOOD PARK/SAGEMONT PARK
1625.02	21046	DURHAM PARK
1626.00	21028	SAGEMONT PARK T/H
1627.00	21034	SAGEMONT SEC 1-3
1628.00	21007	WOODMEADOW & SCARSDALE
1628.01	21007	HIGHLAND MEADOW SEC 1-4
1628.02	21007	HIGHLAND MEADOW R/P SEC 5
1629.01	21029	WINDSWEPT T/H
1629.02	21029	ADKINSON TOWNHOUSES SEC 1,2
163.00	4070	LAKEWOOD FOREST
163.01	4057	LAKEWOOD FOREST SEC. 12
163.02	4070	LAKEWOOD FOREST P/H SEC. 1, 2
163.05	4057	LAKEWOOD CROSSING 1
163.06	4057	LAKEWOOD CROSSING SEC 4,5
163.07	4057	LAKEWOOD CROSSING SEC 3
1630.00	21019	SYCAMORE VALLLEY
1631.00	21034	SAGEMONT SEC 5-10
1633.00	21028	SAGEMONT T/H
1634.00	21003	SAGEGLEN PT SEC 1,4 & SAGEGLEN 1-5
1635.01	21046	SAGEMEADOW SEC 7, 8
1635.04	21046	RIVERSTONE RANCH 1-4, 6-10
1635.09	21050	LAKE GOLFCREST SEC 1,2
1636.00	21003	KIRKWOOD SOUTH SEC 1,2,5,6
1639.00	21003	KIRKWOOD SOUTH SEC 3
164.00	4044	WINDWOOD
1640.00	21046	RIVERSTONE RANCH @ CLEAR CREEK SEC 1-16
1641.00	21006	KIRKMONT
1645.00	21050	GREEN TEE TERRACE 7
1646.00	21055	QUEENS COURT 1
1646.02	21001	LEPRECHAUN ST & CALIVA FARMS
1647.00	21028	BIRNHAM WOODS 1 (TH)
1648.00	21054	HAMPTON COURT
1649.00	21059	GENOA AMENDED, PALM VALLEY & GENESIS HOMES
165.00	4063	TALL PINES
165.01	4063	PRADO WOODS
1650.00	21054	CLEAR BROOK MEADOWS SEC 1-4
1651.00	21069	SAGE HOLLOW CONDOS
1651.02	21069	CU XA DONG NAM CONDO
1652.00	21045	STRAWBERRY GLEN & TRAVIS ESTATES
1653.00	21008	VILLAGE AT THE PARK
1653.03	21008	FAIRMONT GARDENS PATIO HOMES & FOX MEADOW PLACE
1654.00	21066	SUNRISE MEADOWS
1655.00	21047	SUMMER MEADOWS SEC 1,2
1655.01	21047	SUMMER MEADOWS T/H
1656.00	21066	DEER CREEK/ SPLIT JUR SUB
1657.00	21067	LEISURE COURT TOWNHOMES
1657.02	21067	VILLAGE AT THE PARK T/H
1658.00	21067	SHAVER LANDING
1658.01	21059	SOUTHDOWN TRACE SEC 2
1658.02	21059	SOUTHDOWN TRACE SEC 1,3 & 4
166.00	4063	LAKEWOOD WEST
166.01	4063	LAKEWOOD WEST
166.02	4063	LAKEWOOD TRAILS
166.03	4063	TUSCANY SEC 1, 2, 3, 4
1661.00	21054	PRESERVE & ENCLAVE @ HIGHLAND GLEN
167.00	4061	NORCHESTER 1-3
168.00	4135	FARM SUBDIVISION-M/R
168.01	4142	GRANT ROAD ESTS
168.02	4063	MANDOLIN VILLAGE TH'S
168.03	4063	MANDOLIN VILLAGE SEC 1-4
168.10	4063	GRANTS TRACE
169.02	4072	REMINGTON GROVE SEC 1
169.03	4072	REMINGTON GROVE SEC 2,3
17.00	4016	GLENCAIRN SEC. 5,6 & WEST GLEN
